Date,Team 1,Team 2,Venue (wrt Team 1),Predicted Spread,DK Line (Time of Bet),Closing Line,Actual Score,Units Risked,Error,Vegas Error,CLV,W/L,Payoff
1/12/2026,American,Navy,H,American -0.68,American +2.5 (-112),American +2.5,"65-51, American",1,13.32,16.5,0,WIN,0.892857143
1/12/2026,Prairie View A&M,Arkansas Pine Bluff,H,Prairie View A&M -2.08,Arkansas Pine Bluff +2.5 (-115),Arkansas Pine Bluff +3,"73-61, Prairie View A&M",0,9.92,9,-0.5,LOSS,0
1/12/2026,Southeastern Louisiana,New Orleans,H,Southeastern Louisiana -3.68,Southeastern Louisiana -1.5 (-115),Southeastern Louisiana -3,"79-76, New Orleans",0,6.68,6,1.5,LOSS,0
1/12/2026,East Texas A&M,Texas A&M Corpus Chris,H,Texas A&M Corpus Chris -2.37,East Texas A&M +4.5 (-112),East Texas A&M +4,"61-50, Texas A&M Corpus Chris",0,8.63,7,0.5,LOSS,0
1/12/2026,Florida A&M,Grambling St.,H,Grambling St. -2.39,Grambling St. +1.5 (-108),Grambling St. -1.5,"91-84,Florida A&M",1,9.39,8.5,3,LOSS,-1
1/12/2026,Bethune Cookman,Southern,H,Bethune Cookman -3.39,Southern +3.5 (-110),Southern +3.5,"77-73, Southern",0,7.39,7.5,0,WIN,0
1/12/2026,McNeese St. ,Nicholls St.,H,McNeese St. -11.81,Nicholls St. +13.5 (-112),Nicholls St. +15.5,"94-68, McNeese St.",0,14.19,10.5,-2,LOSS,0
1/12/2026,Northwestern St.,UT Rio Grande Valley,H,UT Rio Grande Valley -4.14,UT Rio Grande Valley -2.5 (-118),UT Rio Grande Valley -2.5,"64-63, Northwestern St.",0,5.14,3.5,0,LOSS,0
1/12/2026,Stephen F. Austin,Incarnate Word,H,Stephen F. Austin -10.96,Stephen F. Austin -7.5 (-118),Stephen F. Austin -7.5,"56-46, Stephen F. Austin",1,0.96,2.5,0,WIN,0.847457627
1/12/2026,Alabama A&M,Jackson St.,H,Alabama A&M -8.11,Alabama A&M -6.5 (-102),Alabama A&M -6,"100-91, Alabama A&M",0,0.89,3,-0.5,WIN,0
1/12/2026,Alabama St.,Alcorn St.,H,Alabama St. -8.86,Alabama St. -7.5 (-108),Alabama St. -9.5,"81-66, Alabama St.",0,6.14,5.5,2,WIN,0
1/12/2026,Morgan St.,North Carolina Central,H,North Carolina Central -1.23,Morgan St. +1.5 (-105),Morgan St. +3.5,"89-78, North Carolina Central",0,9.77,7.5,-2,LOSS,0
1/12/2026,Lamar,Houston Christian,H,Lamar -8,Lamar -7.5 (-105),Lamar -8.5,"64-56, Lamar",0,0,0.5,1,WIN,0
1/12/2026,Norfolk St.,Maryland Eastern Shore,H,Norfolk St. -3.45,Maryland Eastern Shore +5.5 (-112),Maryland Eastern Shore +6,"74-70, Maryland Eastern Shore",0,7.45,10,-0.5,WIN,0
1/12/2026,Coppin St.,South Carolina St.,H,Coppin St. -0.18,South Carolina St. +1.5 (-105),South Carolina St. +1.5,"74-72, South Carolina St.",0,2.18,3.5,0,WIN,0
1/12/2026,Howard,Delaware St.,H,Howard -9.44,Delaware St. +9.5 (-122),Delaware St. +9,"84-58, Howard",0,16.56,17,0.5,LOSS,0
1/12/2026,Texas Southern,Mississippi Valley St.,H,Texas Southern -12.64,Mississippi Valley St. +14.5 (-102),Mississippi Valley St. +13,"84-51, Texas Southern",0,20.36,20,1.5,LOSS,0
1/13/2026,Iowa St.,Kansas,A,Iowa St. -3.71,Iowa St. -3.5 (-115),Iowa St. -3.5,"84-63, Kansas",0,24.71,24.5,0,LOSS,0
1/13/2026,Virginia,Louisville,A,Louisvile -3.54,Louisville -3.5 (-110),Louisville -4.5,"79-70, Virginia",0,12.54,13.5,1,LOSS,0
1/13/2026,Indiana,Michigan St.,A,Michigan St. -2.79,Indiana +7.5 (-115),Indiana +6.5,"81-60, Michigan St.",1,18.21,14.5,1,LOSS,-1
1/13/2026,Wisconsin,Minnesota,A,Wisconsin -1.18,Minnesota +1.5 (-118),Minnesota +1.5,"78-75, Wisconsin",0,1.82,1.5,0,LOSS,0
1/13/2026,Miami FL,Notre Dame,A,Miami FL -4.41,Miami FL -3.5 (-112),Miami FL -5,"81-69, Miami FL",0,7.59,7,1.5,WIN,0
1/13/2026,Villanova,Providence,A,Villanova -2.38,Villanova -1.5 (-118),Villanova -2.5,"88-82, Villanova",0,3.62,3.5,1,WIN,0
1/13/2026,Baylor,Oklahoma St.,A,Oklahoma St. -1.32,Oklahoma St. +1.5 (-108),Oklahoma St. +1.5,"94-79, Baylor",1,16.32,13.5,0,LOSS,-1
1/13/2026,Connecticut,Seton Hall,A,Connecticut -5.74,Connecticut -5.5 (-112),Connecticut -6.5,"69-64, Connecticut",0,0.74,1.5,1,LOSS,0
1/13/2026,Alabama,Mississippi St.,A,Alabama -9.81,Alabama -5.5 (-112),Alabama -4.5,"97-82, Alabama",1,5.19,10.5,-1,WIN,0.892857143
1/13/2026,Texas A&M,Tennessee,A,Tennessee -6.65,Texas A&M +8.5 (-115),Texas A&M +11,"87-82, Tennessee",0,1.65,6,-2.5,WIN,0
1/13/2026,Florida  ,Oklahoma  ,A,Florida -8.23,Florida -5.5 (-110),Florida -7.5,"96-79, Florida",1,8.77,9.5,2,WIN,0.909090909
1/13/2026,Saint Mary's,San Francisco,A,Saint Mary's -3.47,San Francisco +6.5 (-105),San Francisco +6,"82-68, Saint Mary's",1,10.53,8,0.5,LOSS,-1
1/13/2026,Boise St.,UNLV,A,Boise St. -2.03,UNLV +3.5 (-115),UNLV +1.5,"89-85, UNLV",0,6.03,5.5,2,WIN,0
1/13/2026,Dayton,Duquesne,A,Dayton -4.64,Dayton -4.5 (-108),Dayton -3,"71-65, Dayton",0,1.36,3,-1.5,WIN,0
1/13/2026,Grand Canyon,New Mexico,A,New Mexico -3.97,Grand Canyon +7.5 (-112),Grand Canyon +6.5,"87-64, New Mexico",1,19.03,16.5,1,LOSS,-1
1/13/2026,West Virginia,Houston  ,A,Houston -10.82,West Virginia +13.5 (-115),West Virginia +13.5,"77-48, Houston",1,18.18,15.5,0,LOSS,-1
1/13/2026,Oregon,Nebraska,A,Nebraska -11.49,Oregon +10.5 (-108),Oregon +10.5,"90-55, Nebraska",0,23.51,24.5,0,LOSS,0
